age,weight
1.0,38.31160164873257
2.0,60.60873271053197
3.0,115.31569634517389
6.0,169.60878820839827
7.0,153.3631131534691
9.0,202.54064894085363
10.0,188.33601893137345
11.0,228.0990836270351
12.0,306.9396447882455
13.0,245.93208939336932
14.0,305.0654394948822
15.0,415.4892364550198
16.0,447.41615569226434
17.0,569.9527927519683
18.0,566.3120701863638
19.0,599.428575667597
20.0,802.0973962160548
21.0,776.344448058118
22.0,849.5107494735943
23.0,832.7499064065498
24.0,933.6782728133054
25.0,1022.1532846934376
26.0,1013.3467905298377
27.0,1142.3666528145875
28.0,1144.4823164412933
29.0,1208.9931890967196
30.0,1240.6013072662095
31.0,1408.3957604280588
32.0,1358.1543818657767
33.0,1346.9305002580775
34.0,1479.8754146156314
35.0,1414.605304096808
36.0,1520.9924901398408
37.0,1445.5165397038973
38.0,1508.1457611919054
39.0,1613.6198470698446
40.0,1668.15631283342
41.0,1665.563705004151
42.0,1675.355486336425
43.0,1688.6812702779341
44.0,1650.9410016604447
45.0,1708.6134862432878
46.0,1739.995217093867
47.0,1833.0610267040843
48.0,1813.3914251167819
49.0,1722.961233865786
50.0,1841.1841219044911
51.0,1818.6205907810756
52.0,1816.0128463214353
53.0,1891.5749629595198
54.0,1922.8768974879426
55.0,1927.4829943954371
56.0,1847.8563426792437
57.0,1882.6080628234092
58.0,1922.2808894601014
59.0,1961.583282939968
60.0,1895.4140483939925
61.0,1916.171679506721
62.0,1875.7692559976083
63.0,1876.488707309561
64.0,1981.7500569095394
65.0,2013.4002221528067
66.0,1946.1180395754218
67.0,2003.7157436292819
68.0,1975.1543599230124
69.0,1928.0840382704914
70.0,1981.4309008270009
71.0,2043.0559031313553
72.0,1966.9445210793833
73.0,2049.3542688536713
74.0,1842.340196513758
75.0,2016.4605761397938
76.0,1981.6009829368
77.0,1964.0382484719576
78.0,1985.1842238792494
79.0,1882.702871691868
80.0,1972.4696614544266
81.0,2002.5761860999555
82.0,2059.7858453815898
83.0,1961.0588317709455
84.0,1947.5462580042415
85.0,1963.8053512313577
86.0,2035.5150472113241
87.0,2006.9690737653539
88.0,1964.7698861421882
89.0,2017.5920347157485
90.0,1997.4019368198806
91.0,2041.5522546805255
92.0,1958.5454687020906
93.0,1977.752654858552
94.0,1974.9806077433668
95.0,1921.8259943307307
96.0,2010.1915962798337
97.0,2008.7927412026725
98.0,1996.322854267621
99.0,1984.6399195988324
100.0,1925.879648425509
101.0,1975.873419674435
102.0,1980.0076921854245
103.0,1957.2490341514042
104.0,1989.5012386459732
105.0,2017.9551332581382
106.0,2092.234584883711
107.0,2006.8136153609387
108.0,2011.1094325075594
109.0,1994.6454986887752
110.0,1902.5546763529212
111.0,1997.283348487162
112.0,2001.7274603324258
113.0,2121.976748666355
114.0,1989.2877044411161
115.0,2014.0672282793537
116.0,1997.331917733845
117.0,1940.7052824359428
118.0,2056.346494547711
119.0,2036.8630895520698
120.0,2038.8744246538433
